Niño,Grupo,Edad,Emparejamiento_emocion_RC,Emparejamiento_emocion_TR,Memoria_emocion_RC,Memoria_emocion_TR,Emparejamiento_identidad_RC,Emparejamiento_identidad_TR,Memoria_identidad_RC,Memoria_identidad_TR,emocion emp,emocion mem,pre/post,Tipo emp emoción,Omisión emp emoción,Comisión emp emoción,Tipo mem emoción,Omisión mem emoción,Comisión mem emoción,Tipo emp identidad,Omisión emp identidad,Comisión emp identidad,Tipo mem identidad,Omisión mem identidad,Comisión mem identidad
SGM8M,Grupo identidad,8,1,3.053813792,0,,1,2.720124113,0,,Alegría,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Omisión,100,0
SGM8M,Grupo identidad,8,1,1.810934294,1,1.751677335,1,1.550500998,1,0.826517128,Enojo,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,3.805766486,1,0.934138391,1,2.331045133,1,1.282438656,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,0,,1,1.263454337,1,3.216005392,1,1.235191192,Alegría,Tristeza,Pre,Omisión,100,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,0,,1,1.229216272,1,3.791547407,0,,Tristeza,Alegría,Pre,Omisión,100,0,Acierto,0,0,Acierto,0,0,Omisión,100,0
SGM8M,Grupo identidad,8,1,2.336149732,1,1.40168897,1,1.917464001,0,0.566737659,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Comisión,0,100
SGM8M,Grupo identidad,8,1,3.098107376,0,,1,2.082227851,1,1.277293366,Enojo,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,3.346967325,1,0.924278429,1,1.676456703,1,0.676524654,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,2.675421245,1,1.101337404,1,2.459361335,0,,Enojo,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Omisión,100,0
SGM8M,Grupo identidad,8,0,2.915327505,0,,1,2.303541693,1,1.026558846,Alegría,Enojo,Pre,Comisión,0,100,Omisión,100,0,Acierto,0,0,Acierto,0,0
