Grupo,pre/post,tipo,Imagen,emocion,resultado,resultados,%
Grupo emoción,Post,mem,13,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,13,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,13,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,14,Enojo,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,14,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,15,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,15,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,16,Enojo,Acierto,7,0.4666666666666667
Grupo emoción,Post,mem,16,Enojo,Comisión,6,0.4
Grupo emoción,Post,mem,16,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,17,Tristeza,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,17,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,18,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,18,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,18,Tristeza,Omisión,3,0.2
Grupo emoción,Post,mem,19,Enojo,Acierto,10,0.6666666666666666
Grupo emoción,Post,mem,19,Enojo,Comisión,3,0.2
Grupo emoción,Post,mem,19,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,20,Enojo,Acierto,3,0.2
Grupo emoción,Post,mem,20,Enojo,Comisión,9,0.6
Grupo emoción,Post,mem,20,Enojo,Omisión,3,0.2
Grupo emoción,Post,mem,21,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,21,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,22,Tristeza,Acierto,3,0.2
Grupo emoción,Post,mem,22,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Post,mem,22,Tristeza,Omisión,7,0.4666666666666667
Grupo emoción,Post,mem,23,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,23,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,24,Alegría,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,24,Alegría,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,25,Tristeza,Acierto,8,0.5333333333333333
Grupo emoción,Post,mem,25,Tristeza,Comisión,3,0.2
Grupo emoción,Post,mem,25,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,26,Tristeza,Acierto,12,0.8
Grupo emoción,Post,mem,26,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,26,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,27,Enojo,Acierto,10,0.6666666666666666
Grupo emoción,Post,mem,27,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,27,Enojo,Omisión,3,0.2
Grupo emoción,Post,mem,28,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,28,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,28,Tristeza,Omisión,3,0.2
Grupo emoción,Post,mem,29,Enojo,Acierto,6,0.4
