,Variables,Corr,P_val
282,SSIS.PC.1-TR.emp.ID.1,-0.293896884,0.730710664
283,SSIS.PC.1-EO.emp.ID.1,-0.115165086,0.897770937
284,SSIS.PC.1-EC.emp.ID.1,0.559215422,0.426658958
285,SSIS.PC.1-RC.mem.ID.1,0.026542587,0.70527077
286,SSIS.PC.1-TR.mem.ID.1,-0.249850902,0.817466266
287,SSIS.PC.1-EO.mem.ID.1,-0.200971197,0.506786433
288,SSIS.PC.1-EC.mem.ID.1,-0.073741939,0.548547892
289,SSIS.Ext.1-RC.emp.A.1,0.268293766,0.240643276
290,SSIS.Ext.1-TR.emp.A.1,0.012367005,0.907802216
291,SSIS.Ext.1-EO.emp.A.1,-0.095325694,0.559888321
292,SSIS.Ext.1-EC.emp.A.1,-0.262816525,0.396792606
293,SSIS.Ext.1-RC.emp.T.1,-0.28209606,0.622638489
294,SSIS.Ext.1-TR.emp.T.1,-0.212596309,0.645736897
295,SSIS.Ext.1-EO.emp.T.1,0.312444764,0.122885792
296,SSIS.Ext.1-EC.emp.T.1,0.047888035,0.128901672
297,SSIS.Ext.1-RC.emp.E.1,0.184922019,0.840500497
298,SSIS.Ext.1-TR.emp.E.1,-0.512739812,0.632711906
299,SSIS.Ext.1-EO.emp.E.1,-0.143263662,0.215729863
300,SSIS.Ext.1-EC.emp.E.1,-0.102511094,0.474085923
301,SSIS.Ext.1-RC.mem.A.1,0.157611046,0.337964333
302,SSIS.Ext.1-TR.mem.A.1,0.004444291,0.955650398
303,SSIS.Ext.1-EO.mem.A.1,-0.456832016,0.713910487
304,SSIS.Ext.1-EC.mem.A.1,0.328400359,0.527210934
305,SSIS.Ext.1-RC.mem.T.1,-0.394938946,0.326939949
306,SSIS.Ext.1-TR.mem.T.1,-0.024516998,0.72096168
307,SSIS.Ext.1-EO.mem.T.1,0.223953614,0.414957333
308,SSIS.Ext.1-EC.mem.T.1,0.089432646,0.971795677
309,SSIS.Ext.1-RC.mem.E.1,-0.326768164,0.767693283
310,SSIS.Ext.1-TR.mem.E.1,-0.082477589,0.432631633
311,SSIS.Ext.1-EO.mem.E.1,0.359150794,0.939395443
312,SSIS.Ext.1-EC.mem.E.1,-0.008237081,0.647559479
313,SSIS.Ext.1-RC.emp.ID.1,-0.630796744,0.436836445
314,SSIS.Ext.1-TR.emp.ID.1,-0.323627892,0.730710664
315,SSIS.Ext.1-EO.emp.ID.1,0.03641079,0.897770937
316,SSIS.Ext.1-EC.emp.ID.1,0.63248767,0.426658958
317,SSIS.Ext.1-RC.mem.ID.1,0.132499296,0.70527077
318,SSIS.Ext.1-TR.mem.ID.1,-0.285180016,0.817466266
319,SSIS.Ext.1-EO.mem.ID.1,-0.214444822,0.506786433
320,SSIS.Ext.1-EC.mem.ID.1,-0.23096741,0.548547892
321,SSIS.Bull.1-RC.emp.A.1,-0.011218972,0.240643276
322,SSIS.Bull.1-TR.emp.A.1,-0.130539694,0.907802216
323,SSIS.Bull.1-EO.emp.A.1,-0.279189178,0.559888321
324,SSIS.Bull.1-EC.emp.A.1,0.4579699,0.396792606
325,SSIS.Bull.1-RC.emp.T.1,-0.217346259,0.622638489
326,SSIS.Bull.1-TR.emp.T.1,-0.20926196,0.645736897
327,SSIS.Bull.1-EO.emp.T.1,-0.0096814,0.122885792
328,SSIS.Bull.1-EC.emp.T.1,0.206256056,0.128901672
329,SSIS.Bull.1-RC.emp.E.1,-0.199116993,0.840500497
330,SSIS.Bull.1-TR.emp.E.1,-0.570646113,0.632711906
331,SSIS.Bull.1-EO.emp.E.1,-0.392664007,0.215729863
332,SSIS.Bull.1-EC.emp.E.1,0.352223967,0.474085923
333,SSIS.Bull.1-RC.mem.A.1,0.086146993,0.337964333
334,SSIS.Bull.1-TR.mem.A.1,-0.107823925,0.955650398
335,SSIS.Bull.1-EO.mem.A.1,-0.203306905,0.713910487
336,SSIS.Bull.1-EC.mem.A.1,0.128585095,0.527210934
337,SSIS.Bull.1-RC.mem.T.1,0.020012011,0.326939949
338,SSIS.Bull.1-TR.mem.T.1,-0.022723164,0.72096168
339,SSIS.Bull.1-EO.mem.T.1,0.164098489,0.414957333
340,SSIS.Bull.1-EC.mem.T.1,-0.175086673,0.971795677
341,SSIS.Bull.1-RC.mem.E.1,-0.153211297,0.767693283
342,SSIS.Bull.1-TR.mem.E.1,-0.234943729,0.432631633
343,SSIS.Bull.1-EO.mem.E.1,-0.003838411,0.939395443
344,SSIS.Bull.1-EC.mem.E.1,0.195126268,0.647559479
345,SSIS.Bull.1-RC.emp.ID.1,-0.40381441,0.436836445
346,SSIS.Bull.1-TR.emp.ID.1,0.030975129,0.730710664
347,SSIS.Bull.1-EO.emp.ID.1,0.529689639,0.897770937
348,SSIS.Bull.1-EC.emp.ID.1,0.295878764,0.426658958
349,SSIS.Bull.1-RC.mem.ID.1,0.24862059,0.70527077
350,SSIS.Bull.1-TR.mem.ID.1,-0.027467137,0.817466266
351,SSIS.Bull.1-EO.mem.ID.1,-0.199342403,0.506786433
352,SSIS.Bull.1-EC.mem.ID.1,-0.525717976,0.548547892
353,SSIS.HI.1-RC.emp.A.1,0.114547449,0.240643276
354,SSIS.HI.1-TR.emp.A.1,0.129873873,0.907802216
